label,v1,v2,v3,v4,v5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v44,v45,v46,v47,v48,v50,v51,v52,v53,v55,v56,v57,v58,v59,v60,v61,v62,v63
1,0,0.0,0.0,0,0,81.0,0,3,2,2,2,3,10,17,3,0.0,0.0,80387.53,-100.0,-100.0,-1.0,-1.0,0.0,0.0,-100.0,0.0,0.0,7262068.79,-100.0,-100.0,-1.0,-1.0,0.0,-100.0,1.519,0.54,-21.415,-0.96,0.285,0.624,-0.98,0.628,-100.0,-100.0,0.0,12,1.0,1,0.0,0.0,215.8,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1
1,0,0.0,0.0,0,0,82.0,0,0,3,15,3,0,0,0,0,10595.72,15918.94,15918.94,0.036,0.99,-100.0,-100.0,0.0,0.0,-100.0,353190.42,530631.2,530631.2,0.036,0.99,-100.0,-100.0,0.0,-100.0,1.1740000000000002,0.852,-0.0,-100.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,4,0.6,2,0.2,-100.0,-100.0,0.8,0.1,0.1,0.1,0.7000000000000001,0.1,0.4,0.1
1,0,0.0,0.0,0,0,90.0,0,0,0,0,0,6,12,16,6,0.0,0.0,34535.86,-100.0,-100.0,-1.0,-1.0,0.0,4161.72,-1.0,0.0,0.0,4990151.42,-100.0,-100.0,-1.0,-1.0,16646.87,0.0,0.991,0.979,-0.3979999999999999,-0.1369999999999999,0.017,0.034,-0.847,0.027,-100.0,-100.0,0.0,12,0.5,2,0.0,0.0,103.633,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.4
1,0,0.0,0.0,0,0,85.0,0,0,0,11,0,5,11,11,5,460.04,460.04,2353.64,-1.0,-100.0,-0.757,-0.757,0.0,0.0,-100.0,15334.76,15334.76,78454.76,-1.0,-100.0,-0.757,-0.757,0.0,-100.0,0.685,0.907,0.0,-100.0,0.0,0.0,-100.0,-100.0,0.03,-0.0,0.0,12,0.976,2,0.952,0.0,156.3,0.5,0.4,0.1,0.1,0.4,0.3,0.3,0.1
1,0,0.0,0.0,0,0,90.0,1,0,0,0,0,6,12,24,6,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,4,0.6,3,0.5660000000000001,0.0,28.933000000000003,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1,0,0.0,0.0,0,0,90.0,0,3,9,21,9,0,0,0,0,957327.08,957327.08,957327.08,-100.0,-100.0,-100.0,-100.0,0.0,0.0,-100.0,31910947.06,31910947.06,31910947.06,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,1.364,0.308,-0.0,-100.0,0.0,0.0,-100.0,0.0,-100.0,-100.0,0.0,12,0.836,2,0.6729999999999999,0.0,189.167,0.8,0.1,0.1,0.1,0.8,0.1,0.3,0.1
1,0,0.0,0.0,0,0,80.0,5,6,6,6,6,0,3,6,0,0.0,482.97,1412.09,-100.0,-1.0,-1.0,-0.48,0.0,0.0,-100.0,0.0,16099.03,47069.91,-100.0,-1.0,-1.0,-0.48,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,4,0.99,2,0.98,0.0,92.633,0.4,0.5,0.1,0.1,0.4,0.5,0.4,0.1
1,0,0.0,0.0,0,0,90.0,0,0,0,5,0,0,0,0,0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,-100.0,473188.32,972705.58,1858763.68,-0.177,-0.053,-0.417,0.098,0.0,-100.0,1.385,0.585,0.159,-0.491,0.075,0.1889999999999999,-100.0,0.51,-100.0,-100.0,0.001,11,0.8,2,0.6,0.0,143.9,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1,0,0.0,0.0,1,1,90.0,1,0,0,2,0,1,6,11,1,15031.59,15031.59,15031.59,-100.0,-100.0,-100.0,-100.0,0.0,0.0,-100.0,5185971.14,6901025.36,10892080.16,-0.618,2.024,1.411,0.7290000000000001,0.0,-100.0,5.733,0.174,0.365,-0.094,6.895,13.79,-100.0,-100.0,-100.0,-100.0,0.0,12,0.9,2,0.8,0.0,69.833,0.6000000000000001,0.1,0.1,0.1,0.8,0.9,0.4,0.1
1,0,0.0,0.0,0,0,90.0,0,0,0,5,0,5,9,10,1,29627.8,101245.82,110452.94,-100.0,-0.586,3.238,9.996,29627.65,0.0,-100.0,366972.48,1098297.63,1405201.53,-100.0,-0.498,0.575,2.579,118510.58,-100.0,0.037,27.19,0.3,0.057,2.846,5.692,-100.0,-100.0,-100.0,-100.0,0.001,11,1.0,1,0.0,0.0,67.867,0.7000000000000001,1.0,0.8,0.1,0.4,1.0,0.7000000000000001,0.1
1,0,0.0,0.0,0,0,90.0,0,3,9,21,9,1,1,1,1,630.5,630.5,630.5,-100.0,-100.0,-100.0,-100.0,0.0,0.0,-100.0,103949.52,103949.52,103949.52,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,0.063,14.425,0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,0.001,10,0.86,2,0.72,0.0,141.8,0.5,0.1,0.1,0.1,0.4,0.1,0.5,0.1
1,0,0.0,0.0,0,0,90.0,0,0,0,8,0,1,3,6,1,1473.8,1473.8,4148.78,-100.0,-100.0,-0.449,-0.449,281.35,0.0,-100.0,385905.53,668319.33,762165.49,-0.421,0.366,3.112,6.121,1125.4,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,12,0.6,2,0.2,0.0,163.13299999999998,0.4,0.7000000000000001,0.5,0.1,0.5,1.0,0.5,0.1
1,0,0.0,0.0,0,0,75.0,0,3,9,21,1,0,0,0,0,12233.0,12233.0,12233.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,-100.0,407766.98,407766.98,407766.98,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.018,-100.0,0.0,12,0.2,2,0.6,1.0,8.467,0.5,0.1,0.1,0.1,0.3,0.1,0.3,0.1
1,0,0.0,0.0,0,0,-100.0,0,6,12,24,12,0,0,0,0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,0.0,-100.0,-100.0,0.03,-0.0,0.0,4,0.51,2,0.02,-100.0,-100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1
1,0,0.0,0.0,0,0,90.0,0,6,12,24,12,0,0,0,0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,1,0.6,2,0.2,0.0,27.267,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1
1,0,0.0,0.0,0,0,90.0,0,1,1,3,1,1,6,13,1,37341.43,116654.11,253353.61,-1.0,-0.529,-0.492,-0.147,0.0,0.0,-100.0,809158.6,2334845.98,5228502.88,-1.0,-0.47,-0.45,-0.193,0.0,-100.0,1.014,0.0559999999999999,15.808,-0.281,0.045,1.504,-100.0,8.898,-100.0,-100.0,0.0,11,0.55,2,0.1,0.0,177.8,0.9,0.8,0.1,0.1,0.7000000000000001,0.8,0.5,0.1
